--- LEAGUES ---
ID: 17104c35-19f5-4ce7-bfa4-5d6a4ba6ae4d | Name: Santiago City FC | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: d3c59096-2ba5-4a6e-aa90-9da1d9cba988 | Name: San Antonio Unido | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: 1ede4543-d1f7-4468-b25f-2479b789b464 | Name: Real San Joaquín | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: 513f1cd4-8aee-49a8-8d70-86ff87e1d187 | Name: Deportes Rengo | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: 50bd5dca-6b03-453a-9856-2f5774b2282d | Name: Constitución Unido | LeagueID: 981e4649-e149-435f-bd34-a512ea5a2c11
ID: ae3be122-a850-4c9d-a73e-f8ea2800478b | Name: CD Colchagua | LeagueID: 981e4649-e149-435f-bd34-a512ea5a2c11
ID: 6709d770-dcd1-47c2-b814-87d09c884b6c | Name: Brujas de Salamanca | LeagueID: 981e4649-e149-435f-bd34-a512ea5a2c11
ID: b51ee41a-cd80-4b38-8b06-6032441f4216 | Name: Deportes Unión Compañías | LeagueID: 981e4649-e149-435f-bd34-a512ea5a2c11
ID: 5b1f27fb-ca1a-444c-8d61-ae6480feb9cd | Name: CDSC Iberia | LeagueID: 981e4649-e149-435f-bd34-a512ea5a2c11
ID: 82fb55ed-b2aa-4c08-a0be-7fb5c153d7c9 | Name: CD Municipal Mejillones | LeagueID: 981e4649-e149-435f-bd34-a512ea5a2c11
ID: 002497ea-1296-41e8-83cd-911d9b25770e | Name: Municipal Puente Alto | LeagueID: 981e4649-e149-435f-bd34-a512ea5a2c11
ID: 52c3064c-fb32-47b5-8263-0f1d0fed5b9d | Name: Deportes Quillón | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: 4131c408-55e2-45e4-9fae-465553d0f7f8 | Name: CD Municipal Mejillones | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: d499efb4-1321-4803-9021-f09d2d17029c | Name: Chimbarongo FC | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: 5ce669c3-74cd-49b3-9c87-f76a0ef7486a | Name: Quintero Unido FC | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: c6dd3df4-c66e-4b5f-be07-dc4a74a2f831 | Name: Brujas de Salamanca | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: 0d55eb56-8063-4ac3-97ef-d7c9fc456759 | Name: Deportes Melipilla | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: 508fe1b8-ce94-4f79-8db3-326de5133779 | Name: General Velasquez | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: a5359d10-7caa-4681-beb0-30cd34031790 | Name: CD Trasandino de Los Andes | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: 6e17f03a-0af2-442e-9627-7c1fd1321ac4 | Name: Deportes Linares | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: 089882a5-bfc7-4ce8-8a01-e154eb4a3947 | Name: AC Barnechea | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: 8bc1d0f0-2cf3-4528-8ea4-f519e0a09fe7 | Name: Provincial Ovalle | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: d09696e8-d406-4732-9adf-42b5ca0be0b1 | Name: Lautaro de Bui­n | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: 1a3b61e0-f6cd-45a6-9675-b73aa8841589 | Name: CSDC Malleco Unido | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: b53be645-c0e3-4fce-9b1a-c83f0908ba4c | Name: Lota Schwager | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: 7be00eb9-8502-4ab4-8e9f-1ea197ec0ce4 | Name: Brujas de Salamanca | LeagueID: fc0e3b1d-f299-4e53-b966-80cadddf2ad3
ID: 4f9e6bc5-f35c-4ee3-a449-a38392228bf7 | Name: CD Concón National | LeagueID: fc0e3b1d-f299-4e53-b966-80cadddf2ad3
ID: 55a498bc-8c7b-4a41-b1ee-351926bd2163 | Name: Real San Joaquín | LeagueID: fc0e3b1d-f299-4e53-b966-80cadddf2ad3
ID: c8b17d10-7b7f-4ab3-9041-354239e0a3c8 | Name: General Velasquez | LeagueID: fc0e3b1d-f299-4e53-b966-80cadddf2ad3
ID: 3bd89465-c580-4bdc-bb9e-df933f5c76ec | Name: Santiago Morning | LeagueID: fc0e3b1d-f299-4e53-b966-80cadddf2ad3
ID: 3ae40e34-e3e2-4d9c-94a8-cb002bc11ad7 | Name: Deportes Rengo | LeagueID: fc0e3b1d-f299-4e53-b966-80cadddf2ad3
ID: 430546d1-1bac-4091-b672-6b49e3999734 | Name: Lota Schwager | LeagueID: fc0e3b1d-f299-4e53-b966-80cadddf2ad3
ID: f6405a51-8a7e-4e19-a2d5-a40e885d1b3d | Name: Municipal Puente Alto | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
