ID_Partido,Jornada,Fecha_Hora,Equipo_Local,Goles_Local,Equipo_Visitante,Goles_Visitante,Posesion_Local,Posesion_Visitante,xG_Local,xG_Visitante,Disparos_Totales_Local,Disparos_Totales_Visitante,Disparos_a_Puerta_Local,Disparos_a_Puerta_Visitante,Corners_Local,Corners_Visitante
13443473,5,2025-03-16 23:30:00,Deportes Iquique,0,Unión Española,4,54.0,46.0,0.77,1.51,14.0,11.0,5.0,6.0,7.0,2.0
13949151,5,2025-07-06 19:00:00,Universidad Católica,2,Colo Colo,0,46.0,54.0,,,9.0,3.0,6.0,1.0,3.0,1.0
13443504,6,2025-03-27 21:15:00,Colo Colo,1,Palestino,1,57.0,43.0,1.89,0.64,18.0,9.0,6.0,2.0,5.0,6.0
13443490,6,2025-03-27 23:30:00,Everton de Viña del Mar,2,Universidad de Chile,0,40.0,60.0,0.76,1.75,11.0,23.0,5.0,3.0,3.0,5.0
13443492,6,2025-03-28 21:15:00,Unión Española,1,Universidad Católica,2,51.0,49.0,1.16,0.58,6.0,7.0,5.0,5.0,4.0,5.0
13443494,6,2025-03-28 23:30:00,Ñublense,1,Deportes Iquique,1,49.0,51.0,1.89,3.35,21.0,15.0,3.0,4.0,4.0,6.0
13443500,6,2025-03-29 21:00:00,O'Higgins,3,Deportes Limache,1,47.0,53.0,0.74,1.76,15.0,27.0,5.0,12.0,4.0,8.0
13443498,6,2025-03-30 15:00:00,Huachipato,3,Deportes La Serena,1,53.0,47.0,1.67,0.32,11.0,9.0,4.0,4.0,2.0,4.0
13443502,6,2025-03-30 21:00:00,Coquimbo Unido,2,Audax Italiano,1,49.0,51.0,1.63,0.92,13.0,10.0,5.0,3.0,11.0,3.0
13443496,6,2025-03-30 23:30:00,Unión La Calera,2,Cobresal,1,62.0,38.0,1.07,0.99,9.0,14.0,4.0,2.0,1.0,4.0
13443519,7,2025-04-12 16:30:00,Coquimbo Unido,0,Huachipato,0,51.0,49.0,1.11,0.1,17.0,4.0,3.0,1.0,12.0,1.0
